               Original Sentence             	                   List of POS      	       Misclassified Entity    
[[ Eppie Lederer | /m/06w7vdx ]] 's daughter, [[ Margo Howard | /m/0g40g ]] , is an advice columnist as well	Eppie/NNP	 
                                                                                                             	Lederer/NNP	 
                                                                                                             	s/NN	 
                                                                                                             	daughter/NN	 
                                                                                                             	,/,	 
                                                                                                             	Margo/NNP	 
                                                                                                             	Howard/NNP	 
                                                                                                             	,/,	 
                                                                                                             	is/VBZ	 
                                                                                                             	an/DT	 
                                                                                                             	advice/JJ	 
                                                                                                             	columnist/NN	 
                                                                                                             	as/IN	 
                                                                                                             	well/RB	 
He is the son of legendary horror movie actor [[ John Carradine | /m/021mlp ]] and half-brother of [[ Kung Fu | /m/02fqgf ]] star [[ David Carradine | /m/02p5hf ]] 	He/PRP	 
                                                                                                                                                                     	is/VBZ	 
                                                                                                                                                                     	the/DT	 
                                                                                                                                                                     	son/NN	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	legendary/JJ	 
                                                                                                                                                                     	horror/NN	 
                                                                                                                                                                     	movie/NN	 
                                                                                                                                                                     	actor/NN	 
                                                                                                                                                                     	John/NNP	 
                                                                                                                                                                     	Carradine/NNP	 
                                                                                                                                                                     	and/CC	 
                                                                                                                                                                     	half-brother/NN	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	Kung/NNP	 
                                                                                                                                                                     	Fu/NNP	 
                                                                                                                                                                     	star/NN	 
                                                                                                                                                                     	David/NNP	 
                                                                                                                                                                     	Carradine/NNP	 
[[ Alfred | /m/0rsj ]] , son of [[ King Æthelwulf | /m/0c_9s ]] , in [[ Rome | /m/06c62 ]] 	Alfred/NNP	 
                                                                                            	,/,	 
                                                                                            	son/NN	 
                                                                                            	of/IN	 
                                                                                            	King/NNP	 
                                                                                            	Æthelwulf/NNP	 
                                                                                            	,/,	 
                                                                                            	in/IN	 
                                                                                            	Rome/NNP	 
Here's information about [[ Paul | /m/03j24kf ]] 's marriage relationship with [[ Heather | /m/05bm10 ]] , their divorce, his children, and more	Here/RB	 
                                                                                                                                                 	s/JJ	 
                                                                                                                                                 	information/NN	 
                                                                                                                                                 	about/IN	 
                                                                                                                                                 	Paul/NNP	 
                                                                                                                                                 	s/JJ	 
                                                                                                                                                 	marriage/NN	 
                                                                                                                                                 	relationship/NN	 
                                                                                                                                                 	with/IN	 
                                                                                                                                                 	Heather/NNP	 
                                                                                                                                                 	,/,	 
                                                                                                                                                 	their/PRP$	 
                                                                                                                                                 	divorce/NN	 
                                                                                                                                                 	,/,	 
                                                                                                                                                 	his/PRP$	 
                                                                                                                                                 	children/NNS	 
                                                                                                                                                 	,/,	 
                                                                                                                                                 	and/CC	 
                                                                                                                                                 	more/JJR	 
Their daughter was [[ Margaret | /m/0j711 ]] , mother of [[ Henry VII | /m/03p6r ]] 	Their/PRP$	 
                                                                                     	daughter/NN	 
                                                                                     	was/VBD	 
                                                                                     	Margaret/NNP	 
                                                                                     	,/,	 
                                                                                     	mother/NN	 
                                                                                     	of/IN	 
                                                                                     	Henry/NNP	 
                                                                                     	VII/NNP	 
Lat year's [[ Person of the Year | /m/01dbzq ]] was [[ Paul McCartney | /m/03j24kf ]] 's fashion designer daughter [[ Stella McCartney | /m/03j437 ]] .	Lat/JJ	 
                                                                                                                                                        	year/NN	 
                                                                                                                                                        	s/VBD	 
                                                                                                                                                        	Person/NNP	 
                                                                                                                                                        	of/IN	 
                                                                                                                                                        	the/DT	 
                                                                                                                                                        	Year/NN	 
                                                                                                                                                        	was/VBD	 
                                                                                                                                                        	Paul/NNP	 
                                                                                                                                                        	McCartney/NNP	 
                                                                                                                                                        	s/JJ	 
                                                                                                                                                        	fashion/NN	 
                                                                                                                                                        	designer/NN	 
                                                                                                                                                        	daughter/NN	 
                                                                                                                                                        	Stella/NNP	 
                                                                                                                                                        	McCartney/NNP	 
                                                                                                                                                        	./.	 
With [[ LVMH | /m/03p3mc_ ]] chief [[ Bernard Arnault | /m/03lgx_ ]] 's daughter [[ Delphine Arnault | /m/08tx3s ]] as an unexpected guest, the [[ Pugh | /m/02qj1dt ]] buzz only heightened	With/IN	 
                                                                                                                                                                                             	LVMH/NNP	 
                                                                                                                                                                                             	chief/JJ	 
                                                                                                                                                                                             	Bernard/NNP	 
                                                                                                                                                                                             	Arnault/NNP	 
                                                                                                                                                                                             	s/VBP	 
                                                                                                                                                                                             	daughter/NN	 
                                                                                                                                                                                             	Delphine/NNP	 
                                                                                                                                                                                             	Arnault/NNP	 
                                                                                                                                                                                             	as/IN	 
                                                                                                                                                                                             	an/DT	 
                                                                                                                                                                                             	unexpected/JJ	 
                                                                                                                                                                                             	guest/NN	 
                                                                                                                                                                                             	,/,	 
                                                                                                                                                                                             	the/DT	 
                                                                                                                                                                                             	Pugh/NNP	 
                                                                                                                                                                                             	buzz/NN	 
                                                                                                                                                                                             	only/RB	 
                                                                                                                                                                                             	heightened/VBD	 
[[ Leah | /m/01x2ts ]] regarded the birth of [[ Yissachar | /m/02cm3b ]] as a reward .	Leah/NNP	 
                                                                                       	regarded/VBD	 
                                                                                       	the/DT	 
                                                                                       	birth/NN	 
                                                                                       	of/IN	 
                                                                                       	Yissachar/NNP	 
                                                                                       	as/IN	 
                                                                                       	a/DT	 
                                                                                       	reward/NN	 
                                                                                       	./.	 
Andante Composer: [[ Dmitri Shostakovich | /m/02ck1 ]]  [[ Dmitri Shostakovich | /m/02ck1 ]] 's son, [[ Maxim Shostakovich | /m/03hzg8r ]] conducts Piano Concerto No...	Andante/NNP	 
                                                                                                                                                                         	Composer/NNP	 
                                                                                                                                                                         	:/:	 
                                                                                                                                                                         	Dmitri/NNP	 
                                                                                                                                                                         	Shostakovich/NNP	 
                                                                                                                                                                         	Dmitri/NNP	 
                                                                                                                                                                         	Shostakovich/NNP	 
                                                                                                                                                                         	s/VBD	 
                                                                                                                                                                         	son/NN	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	Maxim/NNP	 
                                                                                                                                                                         	Shostakovich/NNP	 
                                                                                                                                                                         	conducts/VBZ	 
                                                                                                                                                                         	Piano/NNP	 
                                                                                                                                                                         	Concerto/NNP	 
                                                                                                                                                                         	No/NNP	 
                                                                                                                                                                         	.../:	 
... [[ Sarah | /m/0xnjb ]] was born in [[ London | /m/04jpl ]] in 1959 to parents Major [[ Ronald Ferguson | /m/01dlny ]] and his wife Susan.	.../:	 
                                                                                                                                              	Sarah/NN	 
                                                                                                                                              	was/VBD	 
                                                                                                                                              	born/VBN	 
                                                                                                                                              	in/IN	 
                                                                                                                                              	London/NNP	 
                                                                                                                                              	in/IN	 
                                                                                                                                              	1959/CD	 
                                                                                                                                              	to/TO	 
                                                                                                                                              	parents/NNS	 
                                                                                                                                              	Major/NNP	 
                                                                                                                                              	Ronald/NNP	 
                                                                                                                                              	Ferguson/NNP	 
                                                                                                                                              	and/CC	 
                                                                                                                                              	his/PRP$	 
                                                                                                                                              	wife/NN	 
                                                                                                                                              	Susan/NNP	 
                                                                                                                                              	./.	 
[[ Pocahantas | /m/01jggg ]] 's marriage to [[ Rolfe | /m/03q33y ]] brought eight years of peaceful relations in [[ Virginia | /m/07z1m ]] .	Pocahantas/NNP	 
                                                                                                                                             	s/JJ	 
                                                                                                                                             	marriage/NN	 
                                                                                                                                             	to/TO	 
                                                                                                                                             	Rolfe/NNP	 
                                                                                                                                             	brought/VBD	 
                                                                                                                                             	eight/CD	 
                                                                                                                                             	years/NNS	 
                                                                                                                                             	of/IN	 
                                                                                                                                             	peaceful/JJ	 
                                                                                                                                             	relations/NNS	 
                                                                                                                                             	in/IN	 
                                                                                                                                             	Virginia/NNP	 
                                                                                                                                             	./.	 
[[ Abe | /m/07t7hy ]] 's father, [[ Shintaro Abe | /m/020fd_ ]] , was foreign minister in the early 1980s.	Abe/NNP	 
                                                                                                           	s/NN	 
                                                                                                           	father/NN	 
                                                                                                           	,/,	 
