               Original Sentence             	                   List of POS      	       Misclassified Entity    
[[ Kurylenko | /m/0266c36 ]] won her first on-screen role in 2005, where she played [[ Iris | /m/0gxrj24 ]] in the [[ French | /m/0f8l9c ]] drama   [[ L'Annulaire | /m/043phyd ]]   	Kurylenko/NNP	French
                                                                                                                                                                                      	won/VBD	 
                                                                                                                                                                                      	her/PRP$	 
                                                                                                                                                                                      	first/JJ	 
                                                                                                                                                                                      	on-screen/JJ	 
                                                                                                                                                                                      	role/NN	 
                                                                                                                                                                                      	in/IN	 
                                                                                                                                                                                      	2005/CD	 
                                                                                                                                                                                      	,/,	 
                                                                                                                                                                                      	where/WRB	 
                                                                                                                                                                                      	she/PRP	 
                                                                                                                                                                                      	played/VBD	 
                                                                                                                                                                                      	Iris/NNP	 
                                                                                                                                                                                      	in/IN	 
                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                      	French/JJ	 
                                                                                                                                                                                      	drama/NN	 
                                                                                                                                                                                      	L/NNP	 
                                                                                                                                                                                      	Annulaire/NNP	 
[[ Mads Mikkelsen | /m/076svb ]] plays [[ Jacob | /m/0h39r88 ]] who works at an orphanage in [[ India | /m/03rk0 ]] .	Mads/NNP	 
                                                                                                                      	Mikkelsen/NNP	 
                                                                                                                      	plays/VBZ	 
                                                                                                                      	Jacob/NNP	 
                                                                                                                      	who/WP	 
                                                                                                                      	works/VBZ	 
                                                                                                                      	at/IN	 
                                                                                                                      	an/DT	 
                                                                                                                      	orphanage/NN	 
                                                                                                                      	in/IN	 
                                                                                                                      	India/NNP	 
                                                                                                                      	./.	 
On the other hand, the beautiful [[ Kurylenko | /m/0266c36 ]] plays a stunning [[ Camille | /m/043pxc_ ]] who is tough-as-nails	On/IN	 
                                                                                                                                	the/DT	 
                                                                                                                                	other/JJ	 
                                                                                                                                	hand/NN	 
                                                                                                                                	,/,	 
                                                                                                                                	the/DT	 
                                                                                                                                	beautiful/JJ	 
                                                                                                                                	Kurylenko/NNP	 
                                                                                                                                	plays/VBZ	 
