               Original Sentence             	                   List of POS      	       Misclassified Entity    
President [[ John F. Kennedy | /m/0d3k14 ]] awarded [[ Wyeth | /m/02nnn_ ]] the [[ Presidential Medal of Freedom | /m/05qck ]] in 1963, and in 1970, President [[ Richard Nixon | /m/06c97 ]]	President/NNP	 
                                                                                                                                                                                              	John/NNP	 
                                                                                                                                                                                              	F./NNP	 
                                                                                                                                                                                              	Kennedy/NNP	 
                                                                                                                                                                                              	awarded/VBD	 
                                                                                                                                                                                              	Wyeth/NNP	 
                                                                                                                                                                                              	the/DT	 
                                                                                                                                                                                              	Presidential/NNP	 
                                                                                                                                                                                              	Medal/NNP	 
                                                                                                                                                                                              	of/IN	 
                                                                                                                                                                                              	Freedom/NNP	 
                                                                                                                                                                                              	in/IN	 
                                                                                                                                                                                              	1963/CD	 
                                                                                                                                                                                              	,/,	 
                                                                                                                                                                                              	and/CC	 
                                                                                                                                                                                              	in/IN	 
                                                                                                                                                                                              	1970/CD	 
                                                                                                                                                                                              	,/,	 
                                                                                                                                                                                              	President/NNP	 
                                                                                                                                                                                              	Richard/NNP	 
                                                                                                                                                                                              	Nixon/NNP	 
C20742-26, President [[ Reagan | /m/059rv ]] and [[ Nancy Reagan | /m/059rv ]] talking with [[ James Cagney | /m/0432b ]] , recipient of the [[ Medal of Freedom | /m/05qck ]] , in the [[ Blue room | /m/0c3nnt ]] 	C20742-26/NNP	 
                                                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                                                     	President/NNP	 
                                                                                                                                                                                                                     	Reagan/NNP	 
                                                                                                                                                                                                                     	and/CC	 
                                                                                                                                                                                                                     	Nancy/NNP	 
                                                                                                                                                                                                                     	Reagan/NNP	 
                                                                                                                                                                                                                     	talking/VBG	 
                                                                                                                                                                                                                     	with/IN	 
                                                                                                                                                                                                                     	James/NNP	 
                                                                                                                                                                                                                     	Cagney/NNP	 
                                                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                                                     	recipient/NN	 
                                                                                                                                                                                                                     	of/IN	 
                                                                                                                                                                                                                     	the/DT	 
                                                                                                                                                                                                                     	Medal/NNP	 
                                                                                                                                                                                                                     	of/IN	 
                                                                                                                                                                                                                     	Freedom/NNP	 
                                                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                                                     	in/IN	 
                                                                                                                                                                                                                     	the/DT	 
                                                                                                                                                                                                                     	Blue/NNP	 
                                                                                                                                                                                                                     	room/NN	 
n 1976 President [[ Gerald Ford | /m/0c_md_ ]] awarded [[ Jesse Owens | /m/0cmr3 ]] the [[ Medal of Freedom | /m/05qck ]] , the highest honor a civilian of the [[ United States | /m/09c7w0 ]] can receive.	n/JJ	 
                                                                                                                                                                                                             	1976/CD	 
                                                                                                                                                                                                             	President/NNP	 
                                                                                                                                                                                                             	Gerald/NNP	 
                                                                                                                                                                                                             	Ford/NNP	 
                                                                                                                                                                                                             	awarded/VBD	 
                                                                                                                                                                                                             	Jesse/NNP	 
                                                                                                                                                                                                             	Owens/NNP	 
                                                                                                                                                                                                             	the/DT	 
                                                                                                                                                                                                             	Medal/NNP	 
                                                                                                                                                                                                             	of/IN	 
                                                                                                                                                                                                             	Freedom/NNP	 
                                                                                                                                                                                                             	,/,	 
                                                                                                                                                                                                             	the/DT	 
                                                                                                                                                                                                             	highest/JJS	 
                                                                                                                                                                                                             	honor/NN	 
                                                                                                                                                                                                             	a/DT	 
                                                                                                                                                                                                             	civilian/NN	 
                                                                                                                                                                                                             	of/IN	 
                                                                                                                                                                                                             	the/DT	 
                                                                                                                                                                                                             	United/NNP	 
                                                                                                                                                                                                             	States/NNPS	 
                                                                                                                                                                                                             	can/MD	 
                                                                                                                                                                                                             	receive/VB	 
                                                                                                                                                                                                             	./.	 
For his devotion to civilization, [[ Fuller | /m/0bvrmr ]] was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] , the nations highest civilian honor, in 1996	For/IN	 
                                                                                                                                                                         	his/PRP$	 
                                                                                                                                                                         	devotion/NN	 
                                                                                                                                                                         	to/TO	 
                                                                                                                                                                         	civilization/NN	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	Fuller/NNP	 
                                                                                                                                                                         	was/VBD	 
                                                                                                                                                                         	awarded/VBN	 
                                                                                                                                                                         	the/DT	 
                                                                                                                                                                         	Presidential/NNP	 
                                                                                                                                                                         	Medal/NNP	 
                                                                                                                                                                         	of/IN	 
                                                                                                                                                                         	Freedom/NNP	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	the/DT	 
                                                                                                                                                                         	nations/JJ	 
                                                                                                                                                                         	highest/JJS	 
                                                                                                                                                                         	civilian/JJ	 
                                                                                                                                                                         	honor/NN	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	in/IN	 
                                                                                                                                                                         	1996/CD	 
[[ O'Keeffe | /m/01t807 ]] received the [[ Presidential Medal of Freedom | /m/05qck ]] from in 1977 and the [[ National Medal of Arts | /m/03fkrc ]] from in 1985	O/NNP	 
                                                                                                                                                                  	Keeffe/NNP	 
                                                                                                                                                                  	received/VBD	 
                                                                                                                                                                  	the/DT	 
                                                                                                                                                                  	Presidential/NNP	 
                                                                                                                                                                  	Medal/NNP	 
                                                                                                                                                                  	of/IN	 
                                                                                                                                                                  	Freedom/NNP	 
                                                                                                                                                                  	from/IN	 
                                                                                                                                                                  	in/IN	 
                                                                                                                                                                  	1977/CD	 
                                                                                                                                                                  	and/CC	 
                                                                                                                                                                  	the/DT	 
                                                                                                                                                                  	National/NNP	 
                                                                                                                                                                  	Medal/NNP	 
                                                                                                                                                                  	of/IN	 
                                                                                                                                                                  	Arts/NNS	 
                                                                                                                                                                  	from/IN	 
                                                                                                                                                                  	in/IN	 
                                                                                                                                                                  	1985/CD	 
Now [[ Hiromi | /m/0739d7 ]] is [[ Playboy Playmate | /m/02kgb7 ]] of the month June 2004.	Now/RB	 
                                                                                           	Hiromi/NNP	 
                                                                                           	is/VBZ	 
                                                                                           	Playboy/NNP	 
                                                                                           	Playmate/NNP	 
                                                                                           	of/IN	 
                                                                                           	the/DT	 
                                                                                           	month/NN	 
                                                                                           	June/NNP	 
                                                                                           	2004/CD	 
                                                                                           	./.	 
