               Original Sentence             	                   List of POS      	       Misclassified Entity    
February 8, 2006: [[ Shorter | /m/01qdjm ]] won the [[ Grammy Award | /m/0c4ys ]] for best jazz instrumental album, individual or group, for [[ Beyond the Sound Barrier | /m/0ff90j7 ]] 	February/NNP	 
                                                                                                                                                                                          	8/CD	 
                                                                                                                                                                                          	,/,	 
                                                                                                                                                                                          	2006/CD	 
                                                                                                                                                                                          	:/:	 
                                                                                                                                                                                          	Shorter/NNP	 
                                                                                                                                                                                          	won/VBD	 
                                                                                                                                                                                          	the/DT	 
                                                                                                                                                                                          	Grammy/NNP	 
                                                                                                                                                                                          	Award/NNP	 
                                                                                                                                                                                          	for/IN	 
                                                                                                                                                                                          	best/JJS	 
                                                                                                                                                                                          	jazz/NN	 
                                                                                                                                                                                          	instrumental/JJ	 
                                                                                                                                                                                          	album/NN	 
                                                                                                                                                                                          	,/,	 
                                                                                                                                                                                          	individual/JJ	 
                                                                                                                                                                                          	or/CC	 
                                                                                                                                                                                          	group/NN	 
                                                                                                                                                                                          	,/,	 
                                                                                                                                                                                          	for/IN	 
                                                                                                                                                                                          	Beyond/NNP	 
                                                                                                                                                                                          	the/DT	 
                                                                                                                                                                                          	Sound/NNP	 
                                                                                                                                                                                          	Barrier/NNP	 
[[ Next | /m/01j0lvl ]] was   [[ Throw It All Away | /m/01lb88y ]]   by something called [[ Zero 7 | /m/05jy74 ]] , of which it was said  their new album . . .	Next/NNP	Throw It All Away
                                                                                                                                                                	was/VBD	Zero 7
                                                                                                                                                                	Throw/VB	 
                                                                                                                                                                	It/PRP	 
                                                                                                                                                                	All/DT	 
                                                                                                                                                                	Away/NNP	 
                                                                                                                                                                	by/IN	 
                                                                                                                                                                	something/NN	 
                                                                                                                                                                	called/VBN	 
                                                                                                                                                                	Zero/CD	 
                                                                                                                                                                	7/CD	 
                                                                                                                                                                	,/,	 
                                                                                                                                                                	of/IN	 
                                                                                                                                                                	which/WDT	 
                                                                                                                                                                	it/PRP	 
                                                                                                                                                                	was/VBD	 
                                                                                                                                                                	said/VBD	 
                                                                                                                                                                	their/PRP$	 
                                                                                                                                                                	new/JJ	 
                                                                                                                                                                	album/NN	 
                                                                                                                                                                	./.	 
                                                                                                                                                                	./.	 
                                                                                                                                                                	./.	 
[[ Let's Talk About Feelings | /m/01j12vt ]] is the fifth album by the [[ California | /m/01n7q ]] punk band [[ Lagwagon | /m/01j12ww ]] , released in 1998.	Let/VB	 
                                                                                                                                                             	s/PRP	 
                                                                                                                                                             	Talk/VB	 
                                                                                                                                                             	About/IN	 
                                                                                                                                                             	Feelings/NNP	 
                                                                                                                                                             	is/VBZ	 
                                                                                                                                                             	the/DT	 
                                                                                                                                                             	fifth/JJ	 
                                                                                                                                                             	album/NN	 
                                                                                                                                                             	by/IN	 
                                                                                                                                                             	the/DT	 
                                                                                                                                                             	California/NNP	 
                                                                                                                                                             	punk/NN	 
                                                                                                                                                             	band/NN	 
                                                                                                                                                             	Lagwagon/NNP	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	released/VBN	 
                                                                                                                                                             	in/IN	 
                                                                                                                                                             	1998/CD	 
                                                                                                                                                             	./.	 
[[ The Company You Keep | /m/026v5b2 ]] held fast to [[ John | /m/01l47sc ]] ?s tradition of fine songwriting, yet moved forward down new avenues	The/DT	The Company You Keep
                                                                                                                                                  	Company/NNP	 
                                                                                                                                                  	You/PRP	 
                                                                                                                                                  	Keep/VBP	 
                                                                                                                                                  	held/VBN	 
                                                                                                                                                  	fast/RB	 
                                                                                                                                                  	to/TO	 
                                                                                                                                                  	John/NNP	 
                                                                                                                                                  	?/.	 
                                                                                                                                                  	s/JJ	 
                                                                                                                                                  	tradition/NN	 
                                                                                                                                                  	of/IN	 
                                                                                                                                                  	fine/JJ	 
                                                                                                                                                  	songwriting/NN	 
                                                                                                                                                  	,/,	 
                                                                                                                                                  	yet/RB	 
                                                                                                                                                  	moved/VBN	 
                                                                                                                                                  	forward/RB	 
                                                                                                                                                  	down/RP	 
                                                                                                                                                  	new/JJ	 
                                                                                                                                                  	avenues/NNS	 
[[ Paley | /m/03qcxgw ]] 's first solo album [[ Lucky's Tune | /m/023l2sk ]] was produced by [[ Frank Black | /m/01vt8h_ ]] , and released by [[ GoodNoise | /m/02_0b8 ]] in 1999	Paley/NNP	 
                                                                                                                                                                                  	s/VBD	 
                                                                                                                                                                                  	first/JJ	 
                                                                                                                                                                                  	solo/NN	 
                                                                                                                                                                                  	album/NN	 
                                                                                                                                                                                  	Lucky/NNP	 
                                                                                                                                                                                  	s/NN	 
                                                                                                                                                                                  	Tune/NNP	 
                                                                                                                                                                                  	was/VBD	 
                                                                                                                                                                                  	produced/VBN	 
                                                                                                                                                                                  	by/IN	 
                                                                                                                                                                                  	Frank/NNP	 
                                                                                                                                                                                  	Black/NNP	 
                                                                                                                                                                                  	,/,	 
                                                                                                                                                                                  	and/CC	 
                                                                                                                                                                                  	released/VBN	 
                                                                                                                                                                                  	by/IN	 
                                                                                                                                                                                  	GoodNoise/NNP	 
                                                                                                                                                                                  	in/IN	 
                                                                                                                                                                                  	1999/CD	 
After having released 3 critically acclaimed albums, [[ PE | /m/05qbq ]] came with [[ Apocalypse 91 | /m/0454g0 ]] .	After/IN	 
