               Original Sentence             	                   List of POS      	       Misclassified Entity    
Ronnie artman [[ polaris | /m/01xs4j ]] sled pull class b  scott pompa suzuki vinson drag race [[ class c | /m/01lgkm ]]  travis knight honda trx r.	Ronnie/NNP	 
                                                                                                                                                     	artman/JJ	 
                                                                                                                                                     	polaris/NN	 
                                                                                                                                                     	sled/VBD	 
                                                                                                                                                     	pull/JJ	 
                                                                                                                                                     	class/NN	 
                                                                                                                                                     	b/NN	 
                                                                                                                                                     	scott/NN	 
                                                                                                                                                     	pompa/NN	 
                                                                                                                                                     	suzuki/NN	 
                                                                                                                                                     	vinson/NN	 
                                                                                                                                                     	drag/NN	 
                                                                                                                                                     	race/NN	 
                                                                                                                                                     	class/NN	 
                                                                                                                                                     	c/NN	 
                                                                                                                                                     	travis/NN	 
                                                                                                                                                     	knight/VBD	 
                                                                                                                                                     	honda/NN	 
                                                                                                                                                     	trx/NN	 
                                                                                                                                                     	r/NN	 
                                                                                                                                                     	./.	 
By 1998, the [[ ACCUTANE | /m/01hgfy ]] had [[ Roche | /m/02nyk6 ]] revise the package insert to contain doctors about the way big [[ Pharma | /m/02q3wl ]]	By/IN	 
                                                                                                                                                            	1998/CD	 
                                                                                                                                                            	,/,	 
                                                                                                                                                            	the/DT	 
                                                                                                                                                            	ACCUTANE/NNP	 
                                                                                                                                                            	had/VBD	 
                                                                                                                                                            	Roche/NNP	 
                                                                                                                                                            	revise/VB	 
                                                                                                                                                            	the/DT	 
                                                                                                                                                            	package/NN	 
                                                                                                                                                            	insert/NN	 
                                                                                                                                                            	to/TO	 
                                                                                                                                                            	contain/VB	 
                                                                                                                                                            	doctors/NNS	 
                                                                                                                                                            	about/IN	 
                                                                                                                                                            	the/DT	 
                                                                                                                                                            	way/NN	 
                                                                                                                                                            	big/JJ	 
                                                                                                                                                            	Pharma/NN	 
[[ ENERGY | /m/02mm_ ]] supplier [[ Scottish & Southern Energy | /m/026pwms ]] has announced plans to raise around ?500m through a placing of 40 million new shares.	ENERGY/NNP	 
                                                                                                                                                                     	supplier/NN	 
                                                                                                                                                                     	Scottish/NNP	 
                                                                                                                                                                     	&/CC	 
                                                                                                                                                                     	Southern/NNP	 
                                                                                                                                                                     	Energy/NNP	 
                                                                                                                                                                     	has/VBZ	 
                                                                                                                                                                     	announced/VBN	 
                                                                                                                                                                     	plans/NNS	 
                                                                                                                                                                     	to/TO	 
                                                                                                                                                                     	raise/VB	 
                                                                                                                                                                     	around/RB	 
                                                                                                                                                                     	?/.	 
                                                                                                                                                                     	500m/CD	 
                                                                                                                                                                     	through/IN	 
                                                                                                                                                                     	a/DT	 
                                                                                                                                                                     	placing/NN	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	40/CD	 
                                                                                                                                                                     	million/CD	 
                                                                                                                                                                     	new/JJ	 
                                                                                                                                                                     	shares/NNS	 
                                                                                                                                                                     	./.	 
I think that [[ Wizards of the Coast | /m/012pjw ]] should make a [[ Harry Potter | /m/078ffw ]] type of [[ Role Playing Game | /m/06c9r ]] .	I/PRP	 
                                                                                                                                              	think/VBP	 
                                                                                                                                              	that/IN	 
                                                                                                                                              	Wizards/NNS	 
                                                                                                                                              	of/IN	 
                                                                                                                                              	the/DT	 
                                                                                                                                              	Coast/NNP	 
                                                                                                                                              	should/MD	 
                                                                                                                                              	make/VB	 
                                                                                                                                              	a/DT	 
                                                                                                                                              	Harry/NNP	 
                                                                                                                                              	Potter/NNP	 
                                                                                                                                              	type/NN	 
                                                                                                                                              	of/IN	 
                                                                                                                                              	Role/NNP	 
                                                                                                                                              	Playing/NNP	 
                                                                                                                                              	Game/NNP	 
                                                                                                                                              	./.	 
The [[ Line | /m/06d_3 ]] became part of the [[ London, Midland & Scottish Railway | /m/019m_g ]] in 1924 and [[ British Railways | /m/01dqc ]]  in 1948	The/DT	 
                                                                                                                                                         	Line/NNP	 
                                                                                                                                                         	became/VBD	 
                                                                                                                                                         	part/NN	 
                                                                                                                                                         	of/IN	 
                                                                                                                                                         	the/DT	 
                                                                                                                                                         	London/NNP	 
                                                                                                                                                         	,/,	 
                                                                                                                                                         	Midland/NNP	 
                                                                                                                                                         	&/CC	 
                                                                                                                                                         	Scottish/NNP	 
                                                                                                                                                         	Railway/NNP	 
                                                                                                                                                         	in/IN	 
                                                                                                                                                         	1924/CD	 
                                                                                                                                                         	and/CC	 
                                                                                                                                                         	British/NNP	 
                                                                                                                                                         	Railways/NNP	 
                                                                                                                                                         	in/IN	 
                                                                                                                                                         	1948/CD	 
[[ Wi-Fi | /m/0h4d9 ]] is a technology standardized by [[ WECA | /m/03dwnw ]] , which makes [[ WLAN | /m/0829v ]] connections compatible with other [[ WLAN | /m/0829v ]] systems.	Wi-Fi/NNP	 
                                                                                                                                                                                   	is/VBZ	 
                                                                                                                                                                                   	a/DT	 
                                                                                                                                                                                   	technology/NN	 
                                                                                                                                                                                   	standardized/VBN	 
                                                                                                                                                                                   	by/IN	 
                                                                                                                                                                                   	WECA/NNP	 
                                                                                                                                                                                   	,/,	 
                                                                                                                                                                                   	which/WDT	 
                                                                                                                                                                                   	makes/VBZ	 
                                                                                                                                                                                   	WLAN/NNP	 
                                                                                                                                                                                   	connections/NNS	 
                                                                                                                                                                                   	compatible/JJ	 
                                                                                                                                                                                   	with/IN	 
                                                                                                                                                                                   	other/JJ	 
                                                                                                                                                                                   	WLAN/NNP	 
                                                                                                                                                                                   	systems/NNS	 
                                                                                                                                                                                   	./.	 
While [[ VoicePulse | /m/08gjqb ]] receives high marks from many [[ VoIP | /m/0jzgd ]]	While/IN	 
                                                                                       	VoicePulse/NNP	 
                                                                                       	receives/VBZ	 
                                                                                       	high/JJ	 
                                                                                       	marks/NNS	 
                                                                                       	from/IN	 
                                                                                       	many/JJ	 
                                                                                       	VoIP/NNP	 
[[ Information Technology | /m/03ytc ]]  company [[ Dimension Data Holdings | /m/02qk4zq ]]	Information/NNP	 
                                                                                            	Technology/NNP	 
                                                                                            	company/NN	 
                                                                                            	Dimension/NNP	 
                                                                                            	Data/NNP	 
                                                                                            	Holdings/NNS	 
I think that [[ Reuters | /m/027lr02 ]] will support the expansion of the [[ Semantic Web | /m/076k0 ]] by releasing [[ Calais | /m/0411l_p ]] in a powerful way.	I/PRP	 
                                                                                                                                                                  	think/VBP	 
                                                                                                                                                                  	that/IN	 
                                                                                                                                                                  	Reuters/NNPS	 
                                                                                                                                                                  	will/MD	 
                                                                                                                                                                  	support/VB	 
                                                                                                                                                                  	the/DT	 
                                                                                                                                                                  	expansion/NN	 
                                                                                                                                                                  	of/IN	 
                                                                                                                                                                  	the/DT	 
                                                                                                                                                                  	Semantic/NNP	 
                                                                                                                                                                  	Web/NNP	 
                                                                                                                                                                  	by/IN	 
                                                                                                                                                                  	releasing/VBG	 
                                                                                                                                                                  	Calais/NNP	 
                                                                                                                                                                  	in/IN	 
                                                                                                                                                                  	a/DT	 
                                                                                                                                                                  	powerful/JJ	 
                                                                                                                                                                  	way/NN	 
                                                                                                                                                                  	./.	 
The utilities on this site are produced for use with [[ TSR | /m/0j4gj ]] 's range of [[ Role Playing Games | /m/06c9r ]] .	The/DT	 
                                                                                                                            	utilities/NNS	 
                                                                                                                            	on/IN	 
                                                                                                                            	this/DT	 
                                                                                                                            	site/NN	 
                                                                                                                            	are/VBP	 
                                                                                                                            	produced/VBN	 
                                                                                                                            	for/IN	 
                                                                                                                            	use/NN	 
                                                                                                                            	with/IN	 
                                                                                                                            	TSR/NNP	 
                                                                                                                            	s/VBP	 
                                                                                                                            	range/NN	 
                                                                                                                            	of/IN	 
                                                                                                                            	Role/NNP	 
                                                                                                                            	Playing/NNP	 
                                                                                                                            	Games/NNPS	 
                                                                                                                            	./.	 
[[ Thales | /m/01phj4 ]] provides [[ Management Development | /m/02q428d ]] , [[ Information Technology | /m/03ytc ]] , Computer Based and Health & Safety programmes.	Thales/NNP	 
                                                                                                                                                                       	provides/VBZ	 
                                                                                                                                                                       	Management/NNP	 
                                                                                                                                                                       	Development/NNP	 
                                                                                                                                                                       	,/,	 
                                                                                                                                                                       	Information/NNP	 
                                                                                                                                                                       	Technology/NNP	 
                                                                                                                                                                       	,/,	 
                                                                                                                                                                       	Computer/NNP	 
                                                                                                                                                                       	Based/VBD	 
                                                                                                                                                                       	and/CC	 
                                                                                                                                                                       	Health/NNP	 
                                                                                                                                                                       	&/CC	 
                                                                                                                                                                       	Safety/NNP	 
                                                                                                                                                                       	programmes/NNS	 
                                                                                                                                                                       	./.	 
[[ Coradiant | /m/02875h4 ]] teamed up with [[ Omniture | /m/0bchc7 ]] to provide the most complete [[ Web Analytics | /m/07gnl6 ]] solution available.	Coradiant/NN	 
                                                                                                                                                        	teamed/VBD	 
                                                                                                                                                        	up/RP	 
                                                                                                                                                        	with/IN	 
                                                                                                                                                        	Omniture/NNP	 
                                                                                                                                                        	to/TO	 
                                                                                                                                                        	provide/VB	 
                                                                                                                                                        	the/DT	 
                                                                                                                                                        	most/RBS	 
                                                                                                                                                        	complete/JJ	 
                                                                                                                                                        	Web/NNP	 
                                                                                                                                                        	Analytics/NNPS	 
                                                                                                                                                        	solution/NN	 
                                                                                                                                                        	available/JJ	 
                                                                                                                                                        	./.	 
The great advantage of [[ Agel | /m/03whxl_ ]] regarding other companies of [[ MLM | /m/056bx ]] , was to create Innovative Products - new category!	The/DT	 
                                                                                                                                                     	great/JJ	 
                                                                                                                                                     	advantage/NN	 
                                                                                                                                                     	of/IN	 
                                                                                                                                                     	Agel/NNP	 
                                                                                                                                                     	regarding/VBG	 
                                                                                                                                                     	other/JJ	 
                                                                                                                                                     	companies/NNS	 
                                                                                                                                                     	of/IN	 
                                                                                                                                                     	MLM/NNP	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	was/VBD	 
                                                                                                                                                     	to/TO	 
                                                                                                                                                     	create/VB	 
                                                                                                                                                     	Innovative/JJ	 
                                                                                                                                                     	Products/NNPS	 
                                                                                                                                                     	-/:	 
                                                                                                                                                     	new/JJ	 
                                                                                                                                                     	category/NN	 
                                                                                                                                                     	!/.	 
[[ Winnebago | /m/02qc731 ]] made this [[ Class C | /m/01lgkm ]]	Winnebago/RB	Winnebago
                                                                 	made/VBD	 
                                                                 	this/DT	 
                                                                 	Class/NNP	 
                                                                 	C/NNP	 
Tuesdays at [[ Marie Callendar | /m/02nwj3 ]] s [[ Restaurant | /m/06l8d ]] , 31920 Gateway Center Blvd	Tuesdays/NNS	 
                                                                                                         	at/IN	 
                                                                                                         	Marie/NNP	 
                                                                                                         	Callendar/NNP	 
                                                                                                         	s/NNP	 
                                                                                                         	Restaurant/NNP	 
                                                                                                         	,/,	 
                                                                                                         	31920/CD	 
                                                                                                         	Gateway/NNP	 
                                                                                                         	Center/NNP	 
                                                                                                         	Blvd/NNP	 
[[ Keane | /m/0kqrx_ ]] offers a different approach to [[ BPO | /m/04fm00 ]] 	Keane/NNP	BPO
